DEBUG:root: 0: regs[a:7  ['cpy', 'a', 'b']
DEBUG:root: 5: regs[a:788, b:3, d:578, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:789, b:3, d:578, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:789, b:3, d:578, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:789, b:3, d:578, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:789, b:3, d:577, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:789, b:3, d:577, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:789, b:3, d:577, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:790, b:3, d:577, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:790, b:3, d:577, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:790, b:3, d:577, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:791, b:3, d:577, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:791, b:3, d:577, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:791, b:3, d:577, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:792, b:3, d:577, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:792, b:3, d:577, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:792, b:3, d:577, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:792, b:3, d:576, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:792, b:3, d:576, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:792, b:3, d:576, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:793, b:3, d:576, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:793, b:3, d:576, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:793, b:3, d:576, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:794, b:3, d:576, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:794, b:3, d:576, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:794, b:3, d:576, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:795, b:3, d:576, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:795, b:3, d:576, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:795, b:3, d:576, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:795, b:3, d:575, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:795, b:3, d:575, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:795, b:3, d:575, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:796, b:3, d:575, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:796, b:3, d:575, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:796, b:3, d:575, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:797, b:3, d:575, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:797, b:3, d:575, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:797, b:3, d:575, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:798, b:3, d:575, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:798, b:3, d:575, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:798, b:3, d:575, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:798, b:3, d:574, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:798, b:3, d:574, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:798, b:3, d:574, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:799, b:3, d:574, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:799, b:3, d:574, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:799, b:3, d:574, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:800, b:3, d:574, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:800, b:3, d:574, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:800, b:3, d:574, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:801, b:3, d:574, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:801, b:3, d:574, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:801, b:3, d:574, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:801, b:3, d:573, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:801, b:3, d:573, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:801, b:3, d:573, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:802, b:3, d:573, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:802, b:3, d:573, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:802, b:3, d:573, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:803, b:3, d:573, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:803, b:3, d:573, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:803, b:3, d:573, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:804, b:3, d:573, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:804, b:3, d:573, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:804, b:3, d:573, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:804, b:3, d:572, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:804, b:3, d:572, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:804, b:3, d:572, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:805, b:3, d:572, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:805, b:3, d:572, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:805, b:3, d:572, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:806, b:3, d:572, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:806, b:3, d:572, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:806, b:3, d:572, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:807, b:3, d:572, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:807, b:3, d:572, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:807, b:3, d:572, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:807, b:3, d:571, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:807, b:3, d:571, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:807, b:3, d:571, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:808, b:3, d:571, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:808, b:3, d:571, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:808, b:3, d:571, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:809, b:3, d:571, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:809, b:3, d:571, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:809, b:3, d:571, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:810, b:3, d:571, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:810, b:3, d:571, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:810, b:3, d:571, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:810, b:3, d:570, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:810, b:3, d:570, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:810, b:3, d:570, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:811, b:3, d:570, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:811, b:3, d:570, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:811, b:3, d:570, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:812, b:3, d:570, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:812, b:3, d:570, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:812, b:3, d:570, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:813, b:3, d:570, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:813, b:3, d:570, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:813, b:3, d:570, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:813, b:3, d:569, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:813, b:3, d:569, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:813, b:3, d:569, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:814, b:3, d:569, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:814, b:3, d:569, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:814, b:3, d:569, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:815, b:3, d:569, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:815, b:3, d:569, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:815, b:3, d:569, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:816, b:3, d:569, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:816, b:3, d:569, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:816, b:3, d:569, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:816, b:3, d:568, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:816, b:3, d:568, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:816, b:3, d:568, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:817, b:3, d:568, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:817, b:3, d:568, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:817, b:3, d:568, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:818, b:3, d:568, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:818, b:3, d:568, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:818, b:3, d:568, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:819, b:3, d:568, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:819, b:3, d:568, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:819, b:3, d:568, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:819, b:3, d:567, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:819, b:3, d:567, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:819, b:3, d:567, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:820, b:3, d:567, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:820, b:3, d:567, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:820, b:3, d:567, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:821, b:3, d:567, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:821, b:3, d:567, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:821, b:3, d:567, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:822, b:3, d:567, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:822, b:3, d:567, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:822, b:3, d:567, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:822, b:3, d:566, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:822, b:3, d:566, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:822, b:3, d:566, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:823, b:3, d:566, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:823, b:3, d:566, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:823, b:3, d:566, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:824, b:3, d:566, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:824, b:3, d:566, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:824, b:3, d:566, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:825, b:3, d:566, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:825, b:3, d:566, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:825, b:3, d:566, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:825, b:3, d:565, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:825, b:3, d:565, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:825, b:3, d:565, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:826, b:3, d:565, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:826, b:3, d:565, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:826, b:3, d:565, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:827, b:3, d:565, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:827, b:3, d:565, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:827, b:3, d:565, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:828, b:3, d:565, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:828, b:3, d:565, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:828, b:3, d:565, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:828, b:3, d:564, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:828, b:3, d:564, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:828, b:3, d:564, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:829, b:3, d:564, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:829, b:3, d:564, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:829, b:3, d:564, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:830, b:3, d:564, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:830, b:3, d:564, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:830, b:3, d:564, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:831, b:3, d:564, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:831, b:3, d:564, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:831, b:3, d:564, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:831, b:3, d:563, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:831, b:3, d:563, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:831, b:3, d:563, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:832, b:3, d:563, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:832, b:3, d:563, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:832, b:3, d:563, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:833, b:3, d:563, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:833, b:3, d:563, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:833, b:3, d:563, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:834, b:3, d:563, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:834, b:3, d:563, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:834, b:3, d:563, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:834, b:3, d:562, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:834, b:3, d:562, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:834, b:3, d:562, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:835, b:3, d:562, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:835, b:3, d:562, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:835, b:3, d:562, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:836, b:3, d:562, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:836, b:3, d:562, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:836, b:3, d:562, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:837, b:3, d:562, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:837, b:3, d:562, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:837, b:3, d:562, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:837, b:3, d:561, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:837, b:3, d:561, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:837, b:3, d:561, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:838, b:3, d:561, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:838, b:3, d:561, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:838, b:3, d:561, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:839, b:3, d:561, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:839, b:3, d:561, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:839, b:3, d:561, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:840, b:3, d:561, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:840, b:3, d:561, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:840, b:3, d:561, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:840, b:3, d:560, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:840, b:3, d:560, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:840, b:3, d:560, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:841, b:3, d:560, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:841, b:3, d:560, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:841, b:3, d:560, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:842, b:3, d:560, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:842, b:3, d:560, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:842, b:3, d:560, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:843, b:3, d:560, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:843, b:3, d:560, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:843, b:3, d:560, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:843, b:3, d:559, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:843, b:3, d:559, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:843, b:3, d:559, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:844, b:3, d:559, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:844, b:3, d:559, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:844, b:3, d:559, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:845, b:3, d:559, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:845, b:3, d:559, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:845, b:3, d:559, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:846, b:3, d:559, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:846, b:3, d:559, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:846, b:3, d:559, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:846, b:3, d:558, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:846, b:3, d:558, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:846, b:3, d:558, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:847, b:3, d:558, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:847, b:3, d:558, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:847, b:3, d:558, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:848, b:3, d:558, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:848, b:3, d:558, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:848, b:3, d:558, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:849, b:3, d:558, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:849, b:3, d:558, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:849, b:3, d:558, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:849, b:3, d:557, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:849, b:3, d:557, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:849, b:3, d:557, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:850, b:3, d:557, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:850, b:3, d:557, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:850, b:3, d:557, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:851, b:3, d:557, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:851, b:3, d:557, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:851, b:3, d:557, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:852, b:3, d:557, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:852, b:3, d:557, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:852, b:3, d:557, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:852, b:3, d:556, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:852, b:3, d:556, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:852, b:3, d:556, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:853, b:3, d:556, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:853, b:3, d:556, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:853, b:3, d:556, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:854, b:3, d:556, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:854, b:3, d:556, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:854, b:3, d:556, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:855, b:3, d:556, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:855, b:3, d:556, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:855, b:3, d:556, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:855, b:3, d:555, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:855, b:3, d:555, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:855, b:3, d:555, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:856, b:3, d:555, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:856, b:3, d:555, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:856, b:3, d:555, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:857, b:3, d:555, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:857, b:3, d:555, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:857, b:3, d:555, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:858, b:3, d:555, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:858, b:3, d:555, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:858, b:3, d:555, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:858, b:3, d:554, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:858, b:3, d:554, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:858, b:3, d:554, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:859, b:3, d:554, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:859, b:3, d:554, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:859, b:3, d:554, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:860, b:3, d:554, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:860, b:3, d:554, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:860, b:3, d:554, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:861, b:3, d:554, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:861, b:3, d:554, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:861, b:3, d:554, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:861, b:3, d:553, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:861, b:3, d:553, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:861, b:3, d:553, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:862, b:3, d:553, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:862, b:3, d:553, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:862, b:3, d:553, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:863, b:3, d:553, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:863, b:3, d:553, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:863, b:3, d:553, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:864, b:3, d:553, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:864, b:3, d:553, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:864, b:3, d:553, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:864, b:3, d:552, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:864, b:3, d:552, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:864, b:3, d:552, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:865, b:3, d:552, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:865, b:3, d:552, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:865, b:3, d:552, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:866, b:3, d:552, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:866, b:3, d:552, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:866, b:3, d:552, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:867, b:3, d:552, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:867, b:3, d:552, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:867, b:3, d:552, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:867, b:3, d:551, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:867, b:3, d:551, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:867, b:3, d:551, c:3  ['inc', 'a']
DEBUG:root: 6: regs[a:868, b:3, d:551, c:3  ['dec', 'c']
DEBUG:root: 7: regs[a:868, b:3, d:551, c:2  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:868, b:3, d:551, c:2  ['inc', 'a']
DEBUG:root: 6: regs[a:869, b:3, d:551, c:2  ['dec', 'c']
DEBUG:root: 7: regs[a:869, b:3, d:551, c:1  ['jnz', 'c', '-2']
DEBUG:root: 5: regs[a:869, b:3, d:551, c:1  ['inc', 'a']
DEBUG:root: 6: regs[a:870, b:3, d:551, c:1  ['dec', 'c']
DEBUG:root: 7: regs[a:870, b:3, d:551, c:0  ['jnz', 'c', '-2']
DEBUG:root: 8: regs[a:870, b:3, d:551, c:0  ['dec', 'd']
DEBUG:root: 9: regs[a:870, b:3, d:550, c:0  ['jnz', 'd', '-5']
DEBUG:root: 4: regs[a:870, b:3, d:550, c:0  ['cpy', 'b', 'c']
DEBUG:root: 5: regs[a:870, b:3, d:550, c:3  ['inc', 'a']
